skills,interests,education,tools,experience_level,career
"copywriting, Email Marketing, Mailchimp","branding, content",BBA,"HubSpot, Meta Ads",senior,Email Marketing Specialist
"copywriting, HubSpot, Email Marketing, Mailchimp","marketing, growth, branding, content",BS Marketing,"Google Analytics, HubSpot, Canva",senior,Email Marketing Specialist
"Email Marketing, Mailchimp","growth, content, branding, marketing",BS Business,"Mailchimp, Canva, Google Analytics",mid,Email Marketing Specialist
"copywriting, Mailchimp","content, branding, growth",BS Business,"HubSpot, Canva, Mailchimp",junior,Email Marketing Specialist
"HubSpot, copywriting, Mailchimp, Email Marketing","growth, branding, marketing, content",BS Business,"Mailchimp, Google Analytics, HubSpot",senior,Email Marketing Specialist
"Mailchimp, copywriting",marketing,BBA,"HubSpot, Canva, Meta Ads",entry,Email Marketing Specialist
"Growth Marketing, conversion optimization, Google Analytics","marketing, growth",BS Business,"HubSpot, Meta Ads, Mailchimp",entry,Growth Marketer
"Google Analytics, conversion optimization","content, growth, branding, marketing",BS Business,"HubSpot, Google Analytics, Meta Ads",junior,Growth Marketer
"conversion optimization, Growth Marketing","growth, branding, marketing",BS Marketing,"Canva, Mailchimp, HubSpot",mid,Growth Marketer
"Growth Marketing, conversion optimization, Google Analytics","growth, marketing",BS Business,HubSpot,junior,Growth Marketer
"Growth Marketing, Google Analytics, conversion optimization",growth,BS Business,"Mailchimp, Canva",mid,Growth Marketer
"conversion optimization, Growth Marketing, Google Analytics","branding, growth, content, marketing",BBA,"Meta Ads, Google Analytics, Canva",junior,Growth Marketer
"conversion optimization, Google Analytics","branding, content",BBA,"Meta Ads, Google Analytics",senior,Growth Marketer
"Growth Marketing, conversion optimization, Google Analytics","content, branding, growth, marketing",BS Business,"HubSpot, Mailchimp, Canva",junior,Growth Marketer
"Growth Marketing, Google Analytics","growth, marketing, branding",BBA,Meta Ads,mid,Growth Marketer
"conversion optimization, Google Analytics",content,BS Business,"Mailchimp, Google Analytics",mid,Growth Marketer
"conversion optimization, Google Ads","branding, growth, marketing, content",BS Business,"Canva, Google Analytics, Mailchimp",mid,PPC Specialist
"conversion optimization, Google Ads","growth, marketing",BBA,Google Analytics,senior,PPC Specialist
"Meta Ads, Google Ads","growth, content, marketing",BBA,"Meta Ads, HubSpot, Canva",mid,PPC Specialist
"conversion optimization, Meta Ads","marketing, branding, content, growth",BS Business,"Google Analytics, HubSpot",senior,PPC Specialist
"Meta Ads, Google Ads","growth, content, marketing, branding",BBA,"Meta Ads, Google Analytics, HubSpot",senior,PPC Specialist
"conversion optimization, Meta Ads",marketing,BS Marketing,Google Analytics,junior,PPC Specialist
"conversion optimization, Google Ads, Meta Ads",growth,BS Business,"Mailchimp, Google Analytics",junior,PPC Specialist
"conversion optimization, Google Ads, Meta Ads","marketing, growth, content",BS Marketing,"HubSpot, Meta Ads",senior,PPC Specialist
"Google Ads, Meta Ads","growth, branding",BBA,"Mailchimp, Meta Ads, Google Analytics",senior,PPC Specialist
"conversion optimization, Meta Ads, Google Ads","growth, marketing, branding, content",BS Business,"HubSpot, Mailchimp, Canva",mid,PPC Specialist
"Affiliate Marketing, Google Analytics, SEO","branding, growth",BS Marketing,Canva,junior,Affiliate Marketing Manager
"Affiliate Marketing, SEO, Google Analytics","branding, content, marketing",BBA,"Google Analytics, Meta Ads, Canva",junior,Affiliate Marketing Manager
"SEO, Google Analytics, Affiliate Marketing",growth,BBA,"HubSpot, Mailchimp",junior,Affiliate Marketing Manager
"SEO, Google Analytics","branding, growth, marketing, content",BS Business,"Canva, Meta Ads",senior,Affiliate Marketing Manager
"SEO, Affiliate Marketing, Google Analytics",branding,BBA,"Canva, Mailchimp",entry,Affiliate Marketing Manager
"Google Analytics, Affiliate Marketing","growth, content, marketing",BS Marketing,"Meta Ads, Google Analytics, Mailchimp",mid,Affiliate Marketing Manager
"SEO, Google Analytics","growth, branding, marketing, content",BS Marketing,Meta Ads,mid,Affiliate Marketing Manager
"Affiliate Marketing, Google Analytics","branding, marketing",BS Business,HubSpot,mid,Affiliate Marketing Manager
"SEO, Affiliate Marketing","marketing, growth, content",BS Business,Mailchimp,senior,Affiliate Marketing Manager
"Google Analytics, Affiliate Marketing, SEO","growth, branding, marketing, content",BBA,"Mailchimp, Canva",entry,Affiliate Marketing Manager
"Brand Strategy, Communication","content, growth",BBA,"Google Analytics, Mailchimp, Canva",junior,Brand Manager
"content strategy, Brand Strategy",growth,BBA,"Google Analytics, Meta Ads",senior,Brand Manager
"content strategy, Brand Strategy","content, growth, branding",BS Marketing,"Mailchimp, HubSpot",junior,Brand Manager
"Communication, Brand Strategy, content strategy",content,BS Business,"Google Analytics, Mailchimp, Canva",junior,Brand Manager
"Brand Strategy, content strategy, Communication",branding,BS Business,"Mailchimp, Canva, Google Analytics",mid,Brand Manager
"content strategy, Brand Strategy, Communication","branding, content, growth",BS Business,"Google Analytics, HubSpot",senior,Brand Manager
"Communication, Brand Strategy, content strategy",content,BS Business,"Meta Ads, HubSpot, Canva",senior,Brand Manager
"Brand Strategy, content strategy, Communication",marketing,BBA,"Meta Ads, Google Analytics",mid,Brand Manager
"content strategy, Communication, Brand Strategy",content,BS Marketing,"Meta Ads, Mailchimp",entry,Brand Manager
"content strategy, Communication, Brand Strategy",content,BS Business,Canva,senior,Brand Manager
"SEO, copywriting","growth, content",BBA,"Meta Ads, Canva",senior,Copywriter
"SEO, content strategy",marketing,BBA,"Google Analytics, HubSpot",entry,Copywriter
"SEO, copywriting, content strategy","branding, growth, marketing",BS Marketing,"Meta Ads, Google Analytics, HubSpot",entry,Copywriter
"SEO, content strategy","growth, content, marketing",BBA,"Mailchimp, HubSpot, Canva",mid,Copywriter
"content strategy, copywriting","growth, content, branding, marketing",BS Marketing,"HubSpot, Google Analytics",senior,Copywriter
"content strategy, SEO","content, marketing, branding, growth",BS Marketing,"Meta Ads, HubSpot, Google Analytics",mid,Copywriter
"SEO, content strategy, copywriting","branding, content, marketing, growth",BBA,"Meta Ads, Mailchimp",junior,Copywriter
"SEO, content strategy, copywriting","branding, growth",BBA,Canva,entry,Copywriter
"SEO, content strategy, copywriting","content, growth",BBA,"Mailchimp, Canva",entry,Copywriter
"SEO, copywriting","branding, growth, marketing",BBA,"Mailchimp, HubSpot, Canva",junior,Copywriter
"content strategy, SEO","growth, marketing",BS Business,"HubSpot, Canva",senior,Content Strategist
"SEO, content strategy, content marketing","content, growth, marketing",BS Business,"Meta Ads, Mailchimp, Google Analytics",senior,Content Strategist
"SEO, content marketing, content strategy","growth, branding",BBA,Canva,mid,Content Strategist
"content marketing, content strategy, SEO","branding, growth, content, marketing",BS Business,Canva,junior,Content Strategist
"content marketing, content strategy","marketing, growth, branding, content",BS Business,"Mailchimp, Google Analytics, HubSpot",entry,Content Strategist
"content marketing, content strategy, SEO","content, branding, marketing, growth",BBA,"HubSpot, Meta Ads, Google Analytics",mid,Content Strategist
"content strategy, content marketing","branding, marketing, growth, content",BS Marketing,"Canva, Google Analytics",mid,Content Strategist
"content strategy, SEO",marketing,BS Business,Mailchimp,senior,Content Strategist
"content strategy, SEO, content marketing",marketing,BBA,"Google Analytics, Meta Ads",senior,Content Strategist
"SEO, content marketing","branding, marketing, content, growth",BBA,"Google Analytics, HubSpot, Mailchimp",senior,Content Strategist
"Brand Strategy, Social Media Marketing","marketing, growth, branding",BBA,"Mailchimp, HubSpot, Canva",mid,Influencer Marketing Manager
"Communication, Brand Strategy, Social Media Marketing","content, branding, growth, marketing",BS Marketing,Canva,mid,Influencer Marketing Manager
"Social Media Marketing, Brand Strategy","content, growth, marketing",BS Business,"Meta Ads, Mailchimp, Canva",senior,Influencer Marketing Manager
"Social Media Marketing, Communication, Brand Strategy","branding, growth, marketing",BS Marketing,Canva,mid,Influencer Marketing Manager
"Communication, Social Media Marketing","content, branding, growth",BBA,"HubSpot, Meta Ads, Mailchimp",junior,Influencer Marketing Manager
"Communication, Brand Strategy, Social Media Marketing","growth, content, branding, marketing",BBA,"Google Analytics, Canva",mid,Influencer Marketing Manager
"Brand Strategy, Social Media Marketing","growth, branding",BS Business,"Google Analytics, HubSpot, Mailchimp",senior,Influencer Marketing Manager
"Communication, Social Media Marketing, Brand Strategy","content, branding",BS Marketing,"Google Analytics, Meta Ads",entry,Influencer Marketing Manager
"Communication, Social Media Marketing, Brand Strategy","growth, marketing, branding, content",BS Business,"HubSpot, Canva, Meta Ads",senior,Influencer Marketing Manager
"Social Media Marketing, Brand Strategy","marketing, content, branding",BS Business,HubSpot,mid,Influencer Marketing Manager
"Agile, Communication","strategy, collaboration, product management",BS Computer Science,Miro,entry,Product Manager
"Stakeholder Management, Project Management","product management, strategy",BBA,Notion,senior,Product Manager
"Project Management, Communication, Agile",collaboration,BS Business,"Notion, Miro, Confluence",entry,Product Manager
"Stakeholder Management, Communication, Agile","collaboration, product management",BS Business,"Confluence, Miro, Notion",mid,Product Manager
"Agile, Stakeholder Management, Communication","collaboration, strategy, product management",BBA,Confluence,entry,Product Manager
"Stakeholder Management, Agile, Project Management",product management,BS Business,"Miro, Jira, Notion",mid,Product Manager
"Agile, Project Management, Communication, Stakeholder Management",strategy,BS Computer Science,"Miro, Confluence",senior,Product Manager
"Communication, Stakeholder Management",collaboration,BS Computer Science,Miro,junior,Product Manager
"Stakeholder Management, Project Management",collaboration,BS Computer Science,Miro,senior,Product Manager
"Stakeholder Management, Communication, Agile, Project Management","strategy, collaboration",BS Business,Miro,mid,Product Manager
"Communication, Agile, Jira","strategy, collaboration, product management",BS Business,Confluence,mid,Project Manager
"Agile, Communication, Jira, Project Management","product management, collaboration, strategy",BS Business,"Jira, Notion",senior,Project Manager
"Jira, Communication, Project Management",collaboration,BS Computer Science,"Miro, Jira",entry,Project Manager
"Agile, Communication","strategy, collaboration, product management",BS Computer Science,"Confluence, Jira",mid,Project Manager
"Communication, Project Management, Jira, Agile","strategy, collaboration, product management",BS Business,"Jira, Notion",junior,Project Manager
"Project Management, Agile, Jira, Communication",collaboration,BS Business,"Notion, Miro, Jira",senior,Project Manager
"Jira, Communication","collaboration, strategy, product management",BS Computer Science,Notion,entry,Project Manager
"Jira, Agile, Communication, Project Management",strategy,BS Business,Confluence,mid,Project Manager
"Agile, Jira, Communication","collaboration, product management",BBA,Confluence,senior,Project Manager
"Communication, Project Management, Jira","strategy, product management, collaboration",BBA,"Miro, Confluence, Notion",mid,Project Manager
"Scrum, Jira, Communication, Agile","product management, collaboration, strategy",BS Computer Science,"Notion, Jira",senior,Scrum Master
"Communication, Agile, Scrum","strategy, product management, collaboration",BS Computer Science,"Miro, Notion, Confluence",entry,Scrum Master
"Jira, Scrum, Agile",product management,BBA,"Confluence, Jira",mid,Scrum Master
"Jira, Communication","collaboration, product management",BS Computer Science,"Notion, Jira",junior,Scrum Master
"Jira, Scrum",product management,BS Computer Science,"Jira, Confluence, Notion",entry,Scrum Master
"Jira, Scrum, Communication",strategy,BBA,"Miro, Jira",junior,Scrum Master
"Scrum, Communication, Agile",strategy,BBA,"Notion, Confluence",entry,Scrum Master
"Communication, Agile, Scrum",strategy,BS Computer Science,Jira,junior,Scrum Master
"Scrum, Communication, Jira, Agile","collaboration, strategy",BS Computer Science,"Confluence, Jira",junior,Scrum Master
"Jira, Agile","collaboration, product management",BS Business,Jira,senior,Scrum Master
"Communication, SQL","product management, strategy",BS Computer Science,"Notion, Miro",entry,Business Analyst
"Problem Solving, SQL, Business Analysis, Communication","collaboration, strategy, product management",BBA,Notion,entry,Business Analyst
"SQL, Business Analysis","strategy, product management, collaboration",BS Computer Science,Miro,mid,Business Analyst
"Problem Solving, Business Analysis, SQL, Communication",collaboration,BBA,"Notion, Confluence, Jira",junior,Business Analyst
"Problem Solving, Business Analysis","strategy, collaboration",BS Business,"Miro, Jira, Confluence",mid,Business Analyst
"Problem Solving, Business Analysis","product management, strategy, collaboration",BS Computer Science,"Notion, Jira",entry,Business Analyst
"Communication, Business Analysis",strategy,BBA,Confluence,senior,Business Analyst
"Problem Solving, Business Analysis, Communication","strategy, collaboration",BS Business,Miro,mid,Business Analyst
"Business Analysis, SQL, Communication, Problem Solving",product management,BS Computer Science,Notion,junior,Business Analyst
"Business Analysis, Communication, Problem Solving, SQL","collaboration, product management",BBA,Miro,junior,Business Analyst
"Stakeholder Management, Scrum, Agile","strategy, collaboration",BS Computer Science,Jira,senior,Product Owner
"Agile, Stakeholder Management",product management,BS Computer Science,Notion,junior,Product Owner
"Scrum, Agile, Stakeholder Management","strategy, product management",BS Computer Science,"Confluence, Notion, Jira",senior,Product Owner
"Stakeholder Management, Scrum, Agile","strategy, collaboration, product management",BBA,"Miro, Notion",senior,Product Owner
"Stakeholder Management, Scrum","strategy, product management, collaboration",BS Business,"Jira, Miro, Confluence",entry,Product Owner
"Scrum, Agile",collaboration,BS Computer Science,"Notion, Confluence",mid,Product Owner
"Scrum, Agile, Stakeholder Management","collaboration, product management",BBA,"Notion, Jira, Miro",mid,Product Owner
"Stakeholder Management, Agile","strategy, product management, collaboration",BS Business,Jira,junior,Product Owner
"Stakeholder Management, Agile","collaboration, strategy, product management",BS Business,Confluence,mid,Product Owner
"Stakeholder Management, Scrum, Agile","strategy, product management",BS Computer Science,"Jira, Confluence",mid,Product Owner
"Project Management, Communication, Stakeholder Management","product management, collaboration",BS Business,Notion,senior,Program Manager
"Communication, Stakeholder Management","collaboration, product management",BBA,"Jira, Confluence",mid,Program Manager
"Stakeholder Management, Project Management","collaboration, product management, strategy",BS Business,Miro,mid,Program Manager
"Communication, Project Management","strategy, product management, collaboration",BBA,"Confluence, Notion, Jira",senior,Program Manager
"Project Management, Stakeholder Management","product management, strategy",BS Business,Confluence,senior,Program Manager
"Communication, Stakeholder Management","product management, collaboration",BBA,"Miro, Jira, Notion",senior,Program Manager
"Project Management, Communication, Stakeholder Management","collaboration, strategy, product management",BS Computer Science,"Miro, Notion, Confluence",mid,Program Manager
"Project Management, Communication","strategy, product management, collaboration",BBA,"Confluence, Miro, Notion",entry,Program Manager
"Communication, Stakeholder Management, Project Management",collaboration,BBA,"Jira, Miro, Confluence",entry,Program Manager
"Stakeholder Management, Communication","collaboration, product management",BS Business,"Confluence, Notion, Jira",senior,Program Manager
"Project Management, Communication",collaboration,BS Business,Miro,senior,Technical Program Manager
"Communication, Agile","strategy, collaboration",BS Business,Miro,senior,Technical Program Manager
"Agile, Communication","collaboration, strategy, product management",BBA,"Miro, Confluence, Notion",mid,Technical Program Manager
"Agile, Project Management","strategy, product management",BS Business,"Jira, Miro",entry,Technical Program Manager
"Agile, Communication, Project Management","product management, strategy",BS Computer Science,"Miro, Notion",senior,Technical Program Manager
"Project Management, Communication, Agile",product management,BBA,"Miro, Confluence, Notion",junior,Technical Program Manager
"Communication, Project Management, Agile",product management,BS Computer Science,"Confluence, Notion, Jira",mid,Technical Program Manager
"Agile, Project Management, Communication",collaboration,BS Business,"Jira, Notion, Confluence",senior,Technical Program Manager
"Project Management, Communication","strategy, product management, collaboration",BBA,"Notion, Jira, Miro",senior,Technical Program Manager
"Project Management, Communication","product management, collaboration",BS Computer Science,"Confluence, Notion",junior,Technical Program Manager
"Leadership, Communication, Scrum, Agile","strategy, collaboration, product management",BS Business,"Notion, Confluence",mid,Agile Coach
"Scrum, Leadership","product management, collaboration, strategy",BS Computer Science,"Confluence, Miro, Notion",entry,Agile Coach
"Scrum, Communication, Leadership, Agile","strategy, product management",BS Business,"Confluence, Notion, Miro",entry,Agile Coach
"Agile, Communication","collaboration, product management",BS Business,"Notion, Jira",mid,Agile Coach
"Communication, Leadership","collaboration, product management",BS Computer Science,"Confluence, Notion, Jira",senior,Agile Coach
"Leadership, Scrum","collaboration, strategy, product management",BBA,"Confluence, Jira, Notion",entry,Agile Coach
"Agile, Communication, Scrum, Leadership",collaboration,BBA,"Confluence, Miro, Jira",junior,Agile Coach
"Scrum, Agile",collaboration,BS Business,"Jira, Notion, Confluence",entry,Agile Coach
"Leadership, Scrum, Communication","strategy, product management, collaboration",BBA,Miro,mid,Agile Coach
"Leadership, Scrum","product management, collaboration",BS Business,"Notion, Jira",mid,Agile Coach
"Operations, Leadership, Communication","product management, collaboration, strategy",BBA,Jira,entry,Operations Manager
"Leadership, Communication","product management, strategy",BBA,Notion,senior,Operations Manager
"Communication, Operations","product management, collaboration",BS Computer Science,"Notion, Confluence",junior,Operations Manager
"Leadership, Operations","product management, collaboration, strategy",BS Business,Miro,junior,Operations Manager
"Operations, Leadership",collaboration,BBA,"Miro, Notion, Confluence",senior,Operations Manager
"Communication, Operations","product management, strategy",BBA,Confluence,junior,Operations Manager
"Operations, Leadership, Communication","collaboration, product management",BS Computer Science,Miro,senior,Operations Manager
"Leadership, Communication",strategy,BBA,"Confluence, Notion",senior,Operations Manager
"Operations, Leadership, Communication","product management, strategy",BS Computer Science,"Confluence, Notion",senior,Operations Manager
"Communication, Operations, Leadership",product management,BS Business,"Notion, Miro, Confluence",entry,Operations Manager
"Excel, Communication",strategy,BS Computer Science,Confluence,junior,Strategy Analyst
"Communication, Business Analysis, Excel",strategy,BBA,Miro,entry,Strategy Analyst
"Excel, Business Analysis","collaboration, product management, strategy",BS Business,Jira,mid,Strategy Analyst
"Business Analysis, Excel",strategy,BBA,"Confluence, Jira",junior,Strategy Analyst
"Communication, Business Analysis","collaboration, strategy, product management",BS Computer Science,"Miro, Jira, Notion",senior,Strategy Analyst
"Excel, Communication","strategy, product management",BS Business,"Jira, Miro",senior,Strategy Analyst
"Communication, Excel",collaboration,BS Computer Science,Jira,entry,Strategy Analyst
"Business Analysis, Excel",product management,BS Computer Science,"Notion, Miro",mid,Strategy Analyst
"Excel, Communication, Business Analysis","strategy, product management, collaboration",BS Business,Jira,senior,Strategy Analyst
"Business Analysis, Communication","strategy, product management",BBA,Jira,senior,Strategy Analyst
"Selenium, Problem Solving, Test Automation, Jira","problem solving, quality",BS Software Engineering,"Selenium, Postman, Git",junior,QA Engineer
"Jira, Selenium, Problem Solving, Test Automation","automation, quality",BS Software Engineering,"Jira, Postman",entry,QA Engineer
"Problem Solving, Selenium, Test Automation","quality, problem solving, automation",BS Computer Science,"Git, Selenium",senior,QA Engineer
"Test Automation, Jira","automation, quality, problem solving",BS Software Engineering,Selenium,entry,QA Engineer
"Selenium, Jira, Problem Solving","automation, problem solving, quality",BS Computer Science,Jira,entry,QA Engineer
"Selenium, Jira, Problem Solving","problem solving, quality",BS Computer Science,"Selenium, Postman, Git",entry,QA Engineer
"Problem Solving, Jira, Test Automation, Selenium","problem solving, automation, quality",BS Computer Science,"Git, Postman, Jira",mid,QA Engineer
"Problem Solving, Test Automation, Selenium, Jira","automation, quality, problem solving",BS Software Engineering,"Jira, Git, Postman",junior,QA Engineer
"Selenium, Test Automation, Jira",quality,BS Software Engineering,"Jira, Git",junior,QA Engineer
"Jira, Selenium, Test Automation, Problem Solving","automation, problem solving",BS Software Engineering,"Git, Jira",mid,QA Engineer
"Test Automation, Python, Selenium",quality,BS Computer Science,"Jira, Postman, Git",senior,Test Automation Engineer
"CI/CD, Test Automation, Python, Selenium","quality, automation",BS Computer Science,"Git, Jira, Postman",entry,Test Automation Engineer
"Test Automation, CI/CD","quality, automation, problem solving",BS Computer Science,"Selenium, Postman",junior,Test Automation Engineer
"Test Automation, CI/CD, Selenium","automation, quality, problem solving",BS Software Engineering,"Git, Selenium",junior,Test Automation Engineer
"Python, CI/CD, Selenium","quality, problem solving, automation",BS Computer Science,Selenium,mid,Test Automation Engineer
"Python, Test Automation",problem solving,BS Computer Science,Postman,entry,Test Automation Engineer
"Python, CI/CD, Test Automation","automation, quality",BS Software Engineering,"Selenium, Postman",junior,Test Automation Engineer
"Test Automation, CI/CD",problem solving,BS Software Engineering,Git,mid,Test Automation Engineer
"Test Automation, Selenium, Python, CI/CD",quality,BS Computer Science,"Git, Jira",senior,Test Automation Engineer
"Selenium, Python","automation, problem solving, quality",BS Software Engineering,Git,mid,Test Automation Engineer
"manual testing, test cases, Jira","automation, problem solving, quality",BS Computer Science,"Jira, Postman, Git",mid,Manual QA Tester
"Jira, test cases",problem solving,BS Software Engineering,Postman,mid,Manual QA Tester
"test cases, Jira","quality, automation, problem solving",BS Computer Science,Jira,mid,Manual QA Tester
"Jira, test cases, manual testing",automation,BS Software Engineering,"Selenium, Jira, Git",junior,Manual QA Tester
"test cases, manual testing","automation, quality",BS Software Engineering,"Git, Selenium",mid,Manual QA Tester
"Jira, test cases, manual testing","problem solving, automation",BS Computer Science,"Postman, Git",junior,Manual QA Tester
"Jira, test cases, manual testing","problem solving, quality",BS Software Engineering,"Selenium, Git, Postman",entry,Manual QA Tester
"manual testing, test cases","quality, problem solving",BS Computer Science,Selenium,entry,Manual QA Tester
"test cases, Jira","quality, problem solving, automation",BS Software Engineering,"Selenium, Postman, Git",entry,Manual QA Tester
"manual testing, test cases",quality,BS Computer Science,Git,junior,Manual QA Tester
"Test Automation, Selenium, Java, CI/CD","quality, automation",BS Computer Science,"Postman, Git",entry,SDET
"Selenium, Java, Test Automation",quality,BS Computer Science,"Jira, Postman",junior,SDET
"Test Automation, Java, CI/CD, Selenium",automation,BS Computer Science,Git,mid,SDET
"CI/CD, Java, Selenium, Test Automation","automation, problem solving",BS Computer Science,"Selenium, Postman, Jira",mid,SDET
"Test Automation, CI/CD",automation,BS Software Engineering,"Selenium, Postman, Jira",entry,SDET
"CI/CD, Test Automation, Java, Selenium","automation, quality, problem solving",BS Software Engineering,"Postman, Git",senior,SDET
"CI/CD, Selenium, Java","problem solving, quality",BS Computer Science,"Jira, Selenium, Git",senior,SDET
"CI/CD, Selenium, Java","automation, problem solving",BS Computer Science,Git,senior,SDET
"Selenium, CI/CD","problem solving, quality",BS Software Engineering,"Selenium, Jira",junior,SDET
"Selenium, Test Automation",quality,BS Software Engineering,"Jira, Git",mid,SDET
"performance testing, JMeter, Test Automation","automation, quality, problem solving",BS Software Engineering,"Git, Jira, Postman",junior,Performance Test Engineer
"Test Automation, JMeter, performance testing",quality,BS Software Engineering,"Git, Postman, Jira",junior,Performance Test Engineer
"Test Automation, performance testing",automation,BS Software Engineering,Postman,junior,Performance Test Engineer
"Test Automation, performance testing, JMeter","quality, problem solving, automation",BS Software Engineering,"Postman, Git, Selenium",mid,Performance Test Engineer
"JMeter, Test Automation, performance testing","automation, quality",BS Computer Science,"Jira, Git",senior,Performance Test Engineer
"Test Automation, performance testing, JMeter","quality, problem solving, automation",BS Computer Science,"Jira, Selenium, Git",senior,Performance Test Engineer
"performance testing, JMeter","quality, automation",BS Computer Science,"Git, Jira, Postman",entry,Performance Test Engineer
"performance testing, JMeter, Test Automation","quality, automation, problem solving",BS Software Engineering,Jira,entry,Performance Test Engineer
"performance testing, Test Automation, JMeter","automation, problem solving",BS Software Engineering,"Jira, Postman, Selenium",entry,Performance Test Engineer
"Test Automation, JMeter, performance testing","problem solving, automation, quality",BS Software Engineering,"Selenium, Jira",mid,Performance Test Engineer
"manual testing, Jira, test cases",automation,BS Software Engineering,Git,senior,Quality Analyst
"Jira, test cases","quality, automation",BS Software Engineering,"Jira, Postman",senior,Quality Analyst
"manual testing, Jira, test cases",quality,BS Computer Science,"Git, Jira",junior,Quality Analyst
"Jira, test cases, manual testing","automation, problem solving, quality",BS Computer Science,"Selenium, Postman",mid,Quality Analyst
"Jira, manual testing, test cases","problem solving, quality, automation",BS Computer Science,Jira,junior,Quality Analyst
"Jira, manual testing","quality, problem solving, automation",BS Software Engineering,"Selenium, Jira",mid,Quality Analyst
"test cases, Jira","quality, automation, problem solving",BS Computer Science,"Selenium, Git, Jira",junior,Quality Analyst
"test cases, manual testing",quality,BS Computer Science,Jira,senior,Quality Analyst
"manual testing, Jira",quality,BS Computer Science,"Postman, Jira, Git",senior,Quality Analyst
"Jira, test cases","quality, automation",BS Computer Science,Jira,entry,Quality Analyst
"Linux, SQL, PostgreSQL, MySQL","networking, systems, reliability",BS Computer Science,Linux,mid,Database Administrator
"MySQL, Linux, PostgreSQL",systems,BS Information Technology,"SQL, Git",mid,Database Administrator
"SQL, MySQL, PostgreSQL","systems, networking",BS Information Technology,SQL,entry,Database Administrator
"Linux, SQL","systems, reliability, networking",BS Computer Science,"Bash, SQL, Git",entry,Database Administrator
"PostgreSQL, MySQL, Linux, SQL","systems, networking, reliability",BS Computer Science,Bash,junior,Database Administrator
"Linux, MySQL, PostgreSQL","networking, systems",BS Information Technology,"Bash, Git",junior,Database Administrator
"SQL, Linux",reliability,BS Computer Science,Bash,entry,Database Administrator
"Linux, PostgreSQL, SQL",systems,BS Information Technology,SQL,senior,Database Administrator
"MySQL, SQL, PostgreSQL, Linux","systems, networking, reliability",BS Computer Science,"SQL, Git",senior,Database Administrator
"SQL, MySQL","reliability, systems, networking",BS Computer Science,Linux,entry,Database Administrator
"PostgreSQL, SQL, data modeling",reliability,BS Computer Science,Linux,senior,Database Developer
"SQL, data modeling, PostgreSQL","networking, reliability",BS Computer Science,Linux,entry,Database Developer
"data modeling, PostgreSQL, SQL",networking,BS Computer Science,"Bash, Linux, Git",senior,Database Developer
"data modeling, SQL","networking, reliability, systems",BS Computer Science,"Bash, Linux",mid,Database Developer
"PostgreSQL, SQL, data modeling","networking, systems, reliability",BS Information Technology,"SQL, Bash",senior,Database Developer
"PostgreSQL, data modeling, SQL",reliability,BS Information Technology,"Git, SQL, Bash",entry,Database Developer
"SQL, PostgreSQL, data modeling","networking, reliability, systems",BS Computer Science,"SQL, Bash",mid,Database Developer
"data modeling, SQL",reliability,BS Information Technology,Git,entry,Database Developer
"data modeling, SQL","systems, networking, reliability",BS Computer Science,"Bash, SQL, Linux",mid,Database Developer
"data modeling, PostgreSQL, SQL",reliability,BS Information Technology,"Git, Bash, Linux",junior,Database Developer
"SQL, Python, ETL, data warehousing","systems, reliability",BS Information Technology,Git,mid,ETL Developer
"ETL, data warehousing",systems,BS Computer Science,"Linux, Git",junior,ETL Developer
"ETL, data warehousing, SQL, Python",networking,BS Information Technology,"Git, Linux, SQL",mid,ETL Developer
"Python, ETL, SQL","reliability, networking",BS Computer Science,"Git, Linux, SQL",mid,ETL Developer
"ETL, SQL, Python","reliability, systems",BS Information Technology,"Bash, Git, SQL",entry,ETL Developer
"ETL, SQL, data warehousing","networking, systems",BS Computer Science,Linux,senior,ETL Developer
"Python, ETL, SQL",networking,BS Information Technology,"Git, Linux, SQL",entry,ETL Developer
"SQL, Python","systems, networking, reliability",BS Computer Science,"Bash, Git",senior,ETL Developer
"ETL, SQL, data warehousing, Python",networking,BS Information Technology,Linux,mid,ETL Developer
"Python, SQL, ETL, data warehousing",systems,BS Information Technology,"SQL, Linux",senior,ETL Developer
"networking, Linux",networking,BS Information Technology,Git,entry,Systems Administrator
"Bash, Linux",reliability,BS Computer Science,"Git, SQL",senior,Systems Administrator
"networking, Git","systems, networking, reliability",BS Computer Science,"Git, Bash",senior,Systems Administrator
"Linux, Git","reliability, networking",BS Information Technology,"SQL, Linux",entry,Systems Administrator
"Bash, Linux","systems, reliability, networking",BS Information Technology,"Bash, SQL, Linux",junior,Systems Administrator
"Git, Linux, networking, Bash",systems,BS Information Technology,Git,entry,Systems Administrator
"Linux, networking, Git",reliability,BS Information Technology,"Linux, SQL, Git",mid,Systems Administrator
"Git, Linux",reliability,BS Information Technology,"Git, Linux",entry,Systems Administrator
"Git, networking","reliability, systems, networking",BS Computer Science,"SQL, Linux, Git",entry,Systems Administrator
"Bash, Linux, Git, networking",networking,BS Information Technology,Git,entry,Systems Administrator
"networking, Linux","networking, systems",BS Computer Science,"Git, Bash",junior,Network Engineer
"Firewalls, Linux","systems, networking",BS Computer Science,"Linux, Bash",entry,Network Engineer
"Firewalls, networking","networking, reliability",BS Information Technology,"Bash, SQL",mid,Network Engineer
"Linux, Firewalls, networking","reliability, systems, networking",BS Information Technology,Git,mid,Network Engineer
